# size in redshift 18 - size in energy 50
# z - eps [eV] - n [1/eV/m3] - I_gamma [1/eV2/m3]
  0.00, 1.239842e-03, 7.112899e+07, 1.074129e+11
  0.00, 1.495928e-03, 9.538275e+07, 9.606467e+10
  0.00, 1.804909e-03, 1.269206e+08, 8.345841e+10
  0.00, 2.177708e-03, 1.625081e+08, 6.979890e+10
  0.00, 2.627509e-03, 1.968840e+08, 5.568542e+10
  0.00, 3.170215e-03, 2.225385e+08, 4.197570e+10
  0.00, 3.825015e-03, 2.317796e+08, 2.962928e+10
  0.00, 4.615062e-03, 2.192722e+08, 1.943838e+10
  0.00, 5.568292e-03, 1.878719e+08, 1.183031e+10
  0.00, 6.718410e-03, 1.462493e+08, 6.655529e+09
  0.00, 8.106081e-03, 1.028299e+08, 3.474923e+09
  0.00, 9.780373e-03, 6.636586e+07, 1.692564e+09
  0.00, 1.180049e-02, 3.958871e+07, 7.722091e+08
  0.00, 1.423785e-02, 2.195363e+07, 3.314770e+08
  0.00, 1.717864e-02, 1.137057e+07, 1.347897e+08
  0.00, 2.072685e-02, 5.475168e+06, 5.273107e+07
  0.00, 2.500793e-02, 2.442780e+06, 2.111702e+07
  0.00, 3.017326e-02, 1.123349e+06, 9.413586e+06
  0.00, 3.640548e-02, 5.961217e+05, 4.658042e+06
  0.00, 4.392494e-02, 3.455079e+05, 2.491766e+06
  0.00, 5.299752e-02, 2.141925e+05, 1.411022e+06
  0.00, 6.394402e-02, 1.414731e+05, 8.491817e+05
  0.00, 7.715152e-02, 1.113803e+05, 5.138262e+05
  0.00, 9.308696e-02, 8.325336e+04, 2.933127e+05
  0.00, 1.123139e-01, 5.305250e+04, 1.700033e+05
  0.00, 1.355121e-01, 3.420790e+04, 1.032816e+05
  0.00, 1.635018e-01, 2.128755e+04, 6.909351e+04
  0.00, 1.972725e-01, 1.654295e+04, 4.963882e+04
  0.00, 2.380187e-01, 1.496362e+04, 3.601607e+04
  0.00, 2.871813e-01, 1.410082e+04, 2.557823e+04
  0.00, 3.464978e-01, 1.294161e+04, 1.745123e+04
  0.00, 4.180661e-01, 1.133015e+04, 1.145839e+04
  0.00, 5.044171e-01, 9.639226e+03, 7.132715e+03
  0.00, 6.086010e-01, 7.567043e+03, 4.199914e+03
  0.00, 7.343078e-01, 5.519091e+03, 2.353577e+03
  0.00, 8.859748e-01, 3.823208e+03, 1.269990e+03
  0.00, 1.068977e+00, 2.565474e+03, 6.526326e+02
  0.00, 1.289769e+00, 1.613212e+03, 3.207826e+02
  0.00, 1.556163e+00, 9.727629e+02, 1.501755e+02
  0.00, 1.877581e+00, 5.482930e+02, 6.773093e+01
  0.00, 2.265379e+00, 2.974681e+02, 2.972744e+01
  0.00, 2.733338e+00, 1.498984e+02, 1.314796e+01
  0.00, 3.297891e+00, 7.722344e+01, 6.312325e+00
  0.00, 3.979081e+00, 4.807657e+01, 3.097257e+00
  0.00, 4.800937e+00, 3.018728e+01, 1.428343e+00
  0.00, 5.792571e+00, 1.743841e+01, 5.785012e-01
  0.00, 6.988963e+00, 8.599191e+00, 2.041222e-01
  0.00, 8.432578e+00, 3.699731e+00, 5.460419e-02
  0.00, 1.017431e+01, 1.089029e+00, 1.056916e-02
  0.00, 1.227566e+01, 6.811882e-02, 0.000000e+00
  0.01, 1.239842e-03, 6.931807e+07, 1.057809e+11
  0.01, 1.495928e-03, 9.294798e+07, 9.472127e+10
  0.01, 1.804909e-03, 1.238336e+08, 8.243233e+10
  0.01, 2.177708e-03, 1.589542e+08, 6.908768e+10
  0.01, 2.627509e-03, 1.931943e+08, 5.526284e+10
  0.01, 3.170215e-03, 2.192466e+08, 4.178317e+10
  0.01, 3.825015e-03, 2.294015e+08, 2.959345e+10
  0.01, 4.615062e-03, 2.181231e+08, 1.948207e+10
  0.01, 5.568292e-03, 1.877724e+08, 1.189685e+10
